Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,Conversion,EmailEngagement,SiteEngagement,IncomePerClick,AdSpendPerClick,ClickToConversionRate,TotalInteractions
59,Male,81407,Referral,Conversion,1243.68772184667,0.1182761542015518,0.1862106182588602,48,9.475297896353318,11.469797371716425,38,5,4,7,2789,0,9,5216.627851575526,72796.86658267745,1112.1472251500006,0.1665157730129857,102
20,Male,84046,Social Media,Consideration,6158.09870296076,0.2347559665369664,0.1454292318496944,20,8.57904473629217,11.816048784317756,74,16,9,8,1914,0,25,2027.4082225374548,68066.89117341781,4987.300219517829,0.11777973607009132,127
27,Male,78786,SEO,Awareness,4490.310585992101,0.2619835647314284,0.1611305240063437,45,8.316820202721704,11.00995304556321,73,19,0,6,3479,1,19,4120.550996416086,62430.29006226955,3558.1371354449575,0.12768036645598868,143
44,Female,21525,Referral,Consideration,1727.7838539616534,0.2438955526854174,0.0524827781938675,29,9.940173993700396,12.653489417164318,43,7,8,7,3948,1,15,3647.558706587738,17304.507563782325,1389.0103957937472,0.042192270951177245,94
55,Male,118987,Social Media,Retention,1556.4848730492026,0.0278679940568671,0.1788560144731745,0,2.2327945235323856,3.5864529282775885,3,9,4,9,916,0,13,0.0,115760.9738682232,1514.2847934256133,0.1740067941674612,25
37,Male,28009,PPC,Awareness,4188.035694978629,0.2396692839938188,0.1548681690235763,20,3.495473184974242,8.023585103136899,3,14,4,1,2529,1,18,560.9245315074764,22593.929172596694,3378.3491686477178,0.12492700353487866,42
62,Female,97354,Referral,Awareness,8307.499994364422,0.2357485028550633,0.0587388380248547,21,3.4197504895959,12.486258340936224,38,4,9,4,4208,1,13,896.6976495673883,78781.40234446905,6722.64621415348,0.04753300359186758,76
49,Male,24992,PPC,Retention,4729.274793732605,0.0936089117890426,0.1557792200021047,40,1.0740648889227362,4.78944562329172,47,3,3,3,1799,0,6,205.76701525529225,22852.776463859835,4324.466217082989,0.1424450901257419,96
63,Female,71341,Social Media,Consideration,7709.81419387721,0.2103012901479552,0.1788011528012735,5,3.083647574152048,13.470111241336324,63,3,2,2,1054,1,5,207.68537926452495,58944.826863134884,6370.161096775094,0.14773276229377205,75
42,Female,64350,PPC,Conversion,9387.779650003946,0.20935655593527,0.0229926704232484,23,9.857267978170947,13.89671597794254,12,8,9,3,284,1,17,3150.6240284555197,53210.11382803824,7762.623523997683,0.019012317178424484,55
49,Male,100228,Referral,Awareness,1799.974711336681,0.1950689811808539,0.1018277353031096,35,2.8810182885045266,14.875018285943876,62,7,2,2,3813,1,9,1499.9319903275245,83867.96208279474,1506.1680452605476,0.0852065754417733,108
41,Male,95348,PPC,Consideration,3421.417531276191,0.2406459309024448,0.1786952604284762,2,4.526151071328378,11.01051223617436,95,1,1,3,2749,1,2,99.6704835072696,76853.51446777725,2757.7711303880674,0.1440340519220447,102
62,Male,146187,SEO,Consideration,5918.895232756034,0.1767188339846912,0.1913864524702292,27,8.056927010318102,3.4217745807889823,60,9,0,5,741,0,9,744.3626771658236,124232.73578869381,5029.999573231134,0.16264416523541347,101
67,Female,146121,Referral,Conversion,5975.849173593618,0.1728965920263523,0.0633058759157489,31,1.609231410207595,10.116411848049063,87,8,6,9,1809,1,14,504.6690788387814,124581.31517592217,5094.949728918092,0.053973961853174664,141
